#,"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region
,Asia,"140,019,863","+498,027","1,403,110","+1,057","120,596,054","+204,755","18,020,699","25,723",,,,,,Asia
,North America,"96,627,652","+45,455","1,443,527",+637,"78,521,663","+158,064","16,662,462","7,542",,,,,,North America
,South America,"56,166,114","+37,463","1,288,482",+348,"51,703,737","+50,166","3,173,895","11,412",,,,,,South America
,Europe,"179,608,141","+672,373","1,773,940","+1,724","157,892,105","+657,452","19,942,096","10,667",,,,,,Europe
,Oceania,"5,524,403","+79,181","9,254",+32,"4,868,437","+68,549","646,712",138,,,,,,Australia/Oceania
,Africa,"11,761,097","+2,523","252,853",+18,"10,984,963","+6,829","523,281","1,352",,,,,,Africa
,,721,,15,,706,,0,0,,,,,,
,World,"489,707,991","+1,335,022","6,171,181","+3,816","424,567,665","+1,145,815","58,969,145","56,834","62,825",791.7,,,,All
1,China,"151,103","+1,827","4,638",,"117,159","+1,120","29,306",66,105,3,"160,000,000","111,163","1,439,323,776",Asia
2,USA,"81,813,710","+30,655","1,008,009",+498,"65,382,991","+144,972","15,422,710","1,988","244,662","3,014","984,636,199","2,944,528","334,395,303",North America
3,India,"43,027,035","+1,260","521,293",+82,"42,492,326","+1,404","13,416","8,944","30,652",371,"789,770,958","562,628","1,403,717,340",Asia
4,Brazil,"29,975,165","+27,270","660,065",+205,"28,739,687","+21,107","575,413","8,318","139,290","3,067","63,776,166","296,357","215,200,379",South America
5,France,"25,763,472","+148,629","142,407",+134,"23,311,449","+72,304","2,309,616","1,486","393,180","2,173","254,106,036","3,877,944","65,525,975",Europe
6,Germany,"21,459,975","+231,910","130,342",+297,"16,754,000","+207,100","4,575,633","2,494","254,711","1,547","104,701,826","1,242,719","84,252,217",Europe
7,UK,"21,216,874","+29,825","165,570",+191,"19,075,703","+38,589","1,975,601",356,"309,693","2,417","505,708,151","7,381,596","68,509,327",Europe
8,Russia,"17,862,089","+19,164","369,064",+342,"16,884,785","+45,998","608,240","2,300","122,306","2,527","273,400,000","1,872,041","146,043,840",Europe
9,Turkey,"14,873,927","+13,367","98,078",+45,"14,546,788","+14,858","229,061",975,"173,103","1,141","154,042,513","1,792,752","85,925,166",Asia
10,Italy,"14,720,003","+74,959","159,537",+154,"13,288,370","+82,443","1,272,096",476,"244,087","2,645","201,422,918","3,339,991","60,306,427",Europe
11,S. Korea,"13,375,818","+280,187","16,590",+360,N/A,N/A,N/A,"1,299","260,502",323,"15,804,065","307,794","51,346,309",Asia
12,Spain,"11,551,574","+14,421","102,541",+49,"10,918,903","+14,591","530,130",420,"246,900","2,192","471,036,328","10,067,798","46,786,432",Europe
13,Vietnam,"9,650,663","+72,556","42,526",+33,"7,606,476","+87,463","2,001,661","2,541","97,610",430,"84,412,291","853,776","98,869,321",Asia
14,Argentina,"9,039,838","+1,927","128,052",+33,"8,863,774","+3,696","48,012",487,"196,858","2,789","35,428,975","771,526","45,920,629",South America
15,Netherlands,"7,881,010","+21,787","21,994",+10,"6,424,619","+48,466","1,434,397",142,"458,168","1,279","21,107,399","1,227,093","17,201,142",Europe
16,Iran,"7,164,484","+2,264","140,240",+36,"6,877,834","+4,192","146,410","1,596","83,432","1,633","49,358,909","574,798","85,871,730",Asia
17,Japan,"6,552,920","+48,047","28,097",+87,"6,083,056","+34,973","441,767",533,"52,090",223,"43,413,502","345,100","125,799,722",Asia
18,Colombia,"6,085,270",+354,"139,636",+15,"5,918,331",+422,"27,303",342,"117,407","2,694","33,942,728","654,876","51,830,751",South America
19,Indonesia,"6,015,748","+2,930","155,164",+75,"5,759,838","+9,036","100,746","2,771","21,594",557,"92,077,404","330,526","278,578,611",Asia
20,Poland,"5,966,968","+4,051","115,247",+74,"5,329,239","+6,172","522,482",268,"157,964","3,051","35,695,077","944,960","37,774,158",Europe
21,Mexico,"5,659,535","+2,458","323,016",+68,"4,957,809","+2,008","378,710","4,798","43,104","2,460","15,570,337","118,586","131,300,256",North America
22,Ukraine,"4,968,881","+2,081","107,980",+23,N/A,N/A,N/A,177,"114,822","2,495","19,521,252","451,102","43,274,545",Europe
23,Australia,"4,578,611","+64,404","6,341",+17,"4,076,428","+51,837","495,842",88,"175,986",244,"66,674,638","2,562,738","26,016,959",Australia/Oceania
24,Malaysia,"4,219,395","+17,476","35,013",+30,"3,977,403","+17,321","206,979",263,"127,510","1,058","56,243,263","1,699,670","33,090,698",Asia
25,Israel,"3,926,819","+8,587","10,496",+11,"3,782,095",,"134,228",236,"421,061","1,125","41,373,364","4,436,346","9,326,000",Asia
26,Austria,"3,854,405","+23,357","15,905",+40,"3,497,957","+42,625","340,543",391,"423,737","1,749","176,169,662","19,367,348","9,096,220",Europe
27,Belgium,"3,851,048","+15,386","30,826",+30,"3,533,094","+9,025","287,128",164,"329,776","2,640","32,872,543","2,814,964","11,677,786",Europe
28,Czechia,"3,822,048","+6,484","39,701",+15,"3,716,743","+12,709","65,604",90,"355,748","3,695","54,710,794","5,092,357","10,743,708",Europe
29,South Africa,"3,720,645","+1,692","100,042",+10,"3,608,072","+4,251","12,531",546,"61,381","1,650","23,866,743","393,740","60,615,489",Africa
30,Philippines,"3,678,595",+353,"59,298",+49,"3,580,980","+1,299","38,317",289,"32,807",529,"28,963,124","258,300","112,129,883",Asia
31,Thailand,"3,656,726","+28,379","25,225",+92,"3,380,290","+23,843","251,211","1,496","52,160",360,"17,270,775","246,352","70,106,124",Asia
32,Portugal,"3,604,114","+10,016","21,693",+22,N/A,N/A,N/A,61,"355,269","2,138","40,088,192","3,951,622","10,144,743",Europe
33,Peru,"3,547,606",+481,"212,256",+34,N/A,N/A,N/A,428,"105,038","6,285","28,804,457","852,847","33,774,490",South America
34,Canada,"3,492,916","+8,092","37,671",+47,"3,292,189","+5,577","163,056",386,"91,150",983,"59,464,465","1,551,765","38,320,532",North America
