"Country,Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population,Region,Date
Asia,120210961,662895.0,1358458.0,1960.0,109432403.0,347496.0,9420100.0,31211.0,25762.018784651118,291.1267011180419,1949215809.0,417730.0794292538,4666208887.0,Asia,2022-03-06
North America,95311722,50777.0,1415194.0,931.0,67214706.0,188769.0,26681822.0,12328.0,159691.18725196575,2371.104050054393,1070333291.0,1793302.968496296,596850231.0,North America,2022-03-06
South America,54695120,88994.0,1262482.0,947.0,48861714.0,126908.0,4570924.0,13037.0,125240.7576261751,2890.828325624092,210736462.0,482543.8569353109,436719811.0,South America,2022-03-06
Europe,159719585,580492.0,1722836.0,1958.0,138698786.0,796600.0,19297963.0,13579.0,213418.38041367687,2302.0650149972366,2505120376.0,3347358.643507753,748387204.0,Europe,2022-03-06
Africa,11568734,5577.0,250060.0,70.0,10696009.0,7250.0,622665.0,1701.0,8296.710202387656,179.3346923880398,96535024.0,69231.6997269137,1394376050.0,Africa,2022-03-06
Oceania,3799119,42614.0,8022.0,52.0,3356545.0,24940.0,434552.0,158.0,87539.40993419288,184.84315613490796,71712046.0,1652391.0390839817,43398956.0,Australia/Oceania,2022-03-06
World,445305962,1431349.0,6017067.0,5918.0,378260869.0,1491963.0,61028026.0,72014.0,57129.0,771.9,5903653008.0,748630.1132534994,7885941139.0,All,2022-03-06
China,110539,281.0,4636.0,0.0,102438.0,120.0,3465.0,14.0,77.0,3.0,160000000.0,111163.0,1439323776.0,Asia,2022-03-06
USA,80927735,31539.0,984767.0,510.0,54596689.0,165814.0,25346279.0,6320.0,242112.0,2946.0,956472945.0,2861484.0,334257677.0,North America,2022-03-06
India,42962953,5476.0,515063.0,155.0,42388475.0,9754.0,59415.0,8944.0,30628.0,367.0,772824246.0,550933.0,1402754293.0,Asia,2022-03-06
Brazil,29033052,58737.0,651988.0,645.0,26982294.0,72813.0,1398770.0,8318.0,134979.0,3031.0,63776166.0,296505.0,215093207.0,South America,2022-03-06
France,23011998,53678.0,139243.0,120.0,21569704.0,86381.0,1303051.0,2484.0,351244.0,2125.0,246629975.0,3764438.0,65515745.0,Europe,2022-03-06
UK,19119181,0.0,162008.0,0.0,17537214.0,0.0,1419959.0,264.0,279177.0,2366.0,485037295.0,7082486.0,68484046.0,Europe,2022-03-06
Russia,16861793,86769.0,355537.0,750.0,14418916.0,155725.0,2087340.0,2300.0,115461.0,2435.0,273400000.0,1872097.0,146039410.0,Europe,2022-03-06
Germany,15723907,144427.0,124670.0,153.0,12033600.0,135100.0,3565637.0,2494.0,186671.0,1480.0,104701826.0,1242999.0,84233236.0,Europe,2022-03-06
Turkey,14326217,32389.0,95379.0,174.0,13694075.0,57894.0,536763.0,1011.0,166854.0,1111.0,145746122.0,1697471.0,85860733.0,Asia,2022-03-06
Italy,12991055,40795.0,155782.0,173.0,11815610.0,46147.0,1019663.0,609.0,215395.0,2583.0,189484157.0,3141695.0,60312718.0,Europe,2022-03-06
Spain,11112427,11999.0,100479.0,48.0,9938647.0,77633.0,1073301.0,851.0,237520.0,2148.0,471036328.0,10068073.0,46785150.0,Europe,2022-03-06
Argentina,8934328,4430.0,126708.0,84.0,8729665.0,9649.0,77955.0,1009.0,194685.0,2761.0,34473709.0,751205.0,45891196.0,South America,2022-03-06
Iran,7084306,4089.0,137747.0,154.0,6719004.0,9873.0,227555.0,3983.0,82572.0,1606.0,47647542.0,555363.0,85795361.0,Asia,2022-03-06
Netherlands,6640403,67208.0,21608.0,9.0,4821136.0,91957.0,1797659.0,159.0,386105.0,1256.0,21107399.0,1227284.0,17198457.0,Europe,2022-03-06
Colombia,6070616,1191.0,139037.0,53.0,5899197.0,1614.0,32382.0,342.0,117211.0,2685.0,33325965.0,643455.0,51792246.0,South America,2022-03-06
Poland,5734042,12738.0,112535.0,199.0,5115918.0,5901.0,505589.0,637.0,151786.0,2979.0,34029943.0,900809.0,37777092.0,Europe,2022-03-06
Indonesia,5723858,30156.0,149918.0,322.0,5073522.0,46669.0,500418.0,2911.0,20562.0,539.0,86750007.0,311632.0,278373269.0,Asia,2022-03-06
Mexico,5554392,9748.0,319604.0,308.0,4832173.0,10770.0,402615.0,4798.0,42334.0,2436.0,15198795.0,115841.0,131204086.0,North America,2022-03-06
Japan,5274596,64333.0,24604.0,255.0,4579176.0,79697.0,670816.0,1399.0,41919.0,196.0,39747311.0,315888.0,125827106.0,Asia,2022-03-06
Ukraine,4862459,0.0,106485.0,0.0,0.0,0.0,0.0,177.0,112315.0,2460.0,19521252.0,450909.0,43293111.0,Europe,2022-03-06
Vietnam,4292564,133688.0,40726.0,82.0,2616002.0,26566.0,1635836.0,4249.0,43444.0,412.0,79958878.0,809242.0,98807169.0,Asia,2022-03-06
S. Korea,4212652,254326.0,8796.0,216.0,969524.0,0.0,3234332.0,896.0,82049.0,171.0,15804065.0,307812.0,51343185.0,Asia,2022-03-06
South Africa,3683172,1735.0,99543.0,26.0,3559951.0,2582.0,23678.0,546.0,60816.0,1644.0,23226664.0,383516.0,60562373.0,Africa,2022-03-06
Israel,3669119,7048.0,10274.0,10.0,3599664.0,14372.0,59181.0,439.0,393429.0,1102.0,41373364.0,4436346.0,9326000.0,Asia,2022-03-06
Philippines,3666672,935.0,56879.0,109.0,3560293.0,1652.0,49500.0,292.0,32730.0,508.0,28340201.0,252978.0,112026263.0,Asia,2022-03-06
Czechia,3624963,8254.0,38911.0,25.0,3503631.0,12295.0,82421.0,173.0,337448.0,3622.0,52820750.0,4917080.0,10742301.0,Europe,2022-03-06
Malaysia,3595172,33406.0,33173.0,67.0,3250793.0,27143.0,311206.0,371.0,108743.0,1003.0,50621543.0,1531145.0,33061241.0,Asia,2022-03-06
Belgium,3586292,7554.0,30259.0,15.0,3153957.0,0.0,402076.0,227.0,307198.0,2592.0,31867095.0,2729700.0,11674211.0,Europe,2022-03-06
Peru,3524504,0.0,210995.0,0.0,0.0,0.0,0.0,837.0,104455.0,6253.0,27557825.0,816725.0,33741853.0,South America,2022-03-06
Australia,3344617,22901.0,5403.0,48.0,3123151.0,21470.0,216063.0,112.0,128659.0,208.0,63941649.0,2459678.0,25995948.0,Australia/Oceania,2022-03-06
